"earn","height","sex","race","ed","age"
16918.2189161501,65.64,"female","white",12,61
39676.2644997822,68.74,"male","white",16,33
994.133503863912,63.02,"female","white",8,67
26420.8322535518,62.8,"female","white",14,31
986.449291094241,65.99,"female","black",13,34
986.993627550926,64.66,"female","white",12,30
25550.7559075621,62.04,"male","hispanic",14,32
27235.2680173859,64.24,"female","white",14,47
7354.05363222349,63.82,"female","white",9,72
7101.32415873714,66.95,"female","white",9,56
35041.7055007873,71.28,"male","white",12,43
1318.87555348029,59.63,"female","white",16,57
42343.3439688464,66.34,"female","white",16,31
4985.24601643037,66,"female","white",15,25
28022.6386657665,65.49,"female","white",14,43
13729.6720245917,69.96,"female","white",13,26
991.599966272541,64.79,"female","white",13,67
20074.7729832596,66.35,"female","white",13,72
16901.6558792008,62.09,"female","white",12,51
16899.2184171763,65.83,"female","white",15,71
999.338097135203,63.78,"female","white",14,42
23831.5316537746,71.81,"male","white",12,43
4812.71528146838,67.12,"female","hispanic",8,43
47742.1252747604,68.19,"male","hispanic",12,36
47655.590724269,69.76,"male","white",12,37
16892.6857012084,61.91,"female","white",12,42
8934.46253020389,63.29,"female","white",13,30
20099.9218436585,65.48,"female","white",13,67
32803.3025937337,69.75,"female","white",10,65
32811.8623722485,68.09,"female","white",12,40
31765.8967813837,70.21,"male","white",14,27
1001.00043870299,65.99,"female","white",12,63
2907.2064170387,66.23,"female","white",12,24
2115.67589682381,67.79,"female","white",16,36
31884.9092385098,69.94,"male","white",16,31
16905.0220799872,60.75,"female","hispanic",12,26
48686.3352313777,62.9,"female","white",12,77
64606.3235215003,63.47,"female","white",14,60
39751.1940297085,67.14,"male","white",12,93
16881.7141614142,60.66,"female","white",17,83
96382.8900908101,69.55,"female","white",18,67
986.228613755399,63.46,"female","white",12,25
29618.8251244886,67.83,"female","white",12,70
26500.2429561617,64.39,"female","white",12,37
24854.9727381481,67.01,"female","black",14,34
15885.5195104926,68.79,"male","white",17,27
53463.6223523582,67.05,"female","white",13,47
29627.8222039787,67.83,"female","white",12,34
24843.1748606049,63.03,"female","white",12,41
33438.2100886863,70.97,"male","white",12,26
34374.0790977282,63.91,"female","black",17,47
58834.1668506326,68.22,"male","white",11,41
61429.1854058301,68.43,"female","white",17,48
28014.7345560315,65.53,"female","hispanic",14,47
981.65670365787,66.13,"female","white",12,33
996.182111287872,66.31,"female","other",16,36
50924.6583604247,77.12,"male","white",16,34
44729.6150466756,67.17,"female","white",12,62
27223.3656953101,62.11,"female","white",12,48
1007.70988015799,64.5,"female","white",17,34
996.828601796463,71.96,"female","white",12,55
40750.0226434449,67.42,"female","white",18,39
43929.4541868987,61.17,"female","white",18,47
8949.67101572717,63.6,"female","white",12,32
112309.660734072,61.91,"female","white",16,42
8939.55497630854,62.83,"female","white",12,44
7932.57103394049,67.83,"male","white",16,28
32800.8023474806,63.71,"female","white",15,30
6359.00598305609,71.36,"male","white",15,25
96383.0764233227,64,"female","white",16,39
8967.87647229583,60.96,"female","white",13,35
47691.8764601662,74.21,"male","white",12,42
111283.259406706,70.25,"male","white",14,39
79481.9408160514,71.08,"male","white",16,45
70960.3420883276,62.85,"female","white",12,43
48722.16771983,63.61,"female","white",14,47
997.891112569392,62.03,"female","white",16,36
16912.1555694825,62.08,"female","white",16,44
37573.2990727913,70.15,"female","white",17,46
1005.10722008903,62.1,"female","white",12,43
71548.0876578581,70.76,"male","white",17,66
23878.8111841365,71.04,"male","white",14,35
7344.95757908863,69.86,"female","white",14,75
26877.8701780781,67.02,"male","white",14,35
48708.525626797,64.16,"female","white",12,36
44711.1395351231,67.09,"female","white",12,34
10044.7225146099,62.1,"female","white",8,73
29611.1767650406,61.76,"female","hispanic",13,60
68256.8967140838,67.95,"male","black",13,48
51888.9713088147,62.5,"female","black",14,48
995.46575719133,66.19,"female","black",5,55
16887.1457287969,68.16,"female","black",18,60
95449.6102254534,74.23,"male","white",13,49
34383.7045204962,68.07,"female","other",12,54
4807.83133117883,61.74,"female","white",16,26
2587.63185305423,65.9,"female","white",15,32
42922.5679351389,68.18,"male","white",12,31
11485.9945183583,60.18,"female","hispanic",14,32
25447.465302014,67.55,"male","white",8,47
143095.852138569,72.09,"male","white",12,30
13720.5053672839,66.27,"female","white",12,46
31829.2883253981,67.86,"male","white",10,36
24858.2269938452,67.47,"female","white",12,22
20078.9661907246,69.1,"female","white",12,64
39165.2382046526,64.15,"female","white",16,50
32794.5406477114,65.02,"female","white",14,43
31207.4500897519,61.19,"female","white",12,50
15970.26222705,71.89,"male","white",12,53
64610.3579806432,66.19,"female","white",16,38
991.628909680612,61.91,"female","white",10,61
995.090910576791,59.91,"female","hispanic",10,52
39783.9469489965,67.85,"male","white",14,68
39684.6241268197,70.08,"male","white",12,28
39724.6811008388,71.13,"male","white",14,36
30201.5172441044,71.51,"male","white",16,65
70051.7508949032,68.28,"male","white",16,52
1007.95714596412,65.81,"female","white",12,23
1012.93115242453,63.07,"female","white",18,59
24854.2035992486,60.32,"female","white",14,53
28036.2730849519,63.06,"female","white",12,40
38198.250803332,67.61,"male","white",12,60
37585.5211136113,63.65,"female","white",12,41
20628.2955187112,70.44,"male","white",12,78
103375.877816366,67.81,"male","white",16,50
12129.4641155017,60.95,"female","white",12,67
63635.6570881354,67.78,"male","white",18,67
24843.7543318963,66.4,"female","white",17,47
31795.5788124066,69.7,"male","white",16,29
31852.2062255474,70.62,"male","white",12,54
32804.6545498774,64.76,"female","white",12,46
40747.1407845328,66.06,"female","white",12,53
77889.5763942784,69.9,"male","white",13,41
1010.19089949095,63.84,"female","white",12,40
1009.69186942175,63,"female","white",16,39
40750.8830526368,61.39,"female","white",12,69
18480.6824537285,66.26,"female","white",14,61
26423.1293431361,60.8,"female","white",15,42
55572.0362132959,72,"male","white",14,47
198835.433852258,74.22,"male","white",18,49
37566.5366877765,66.83,"female","white",12,51
28022.2375146568,66.01,"female","white",16,32
1016.49101336236,62.09,"female","white",13,35
43933.83836836,62.21,"female","white",12,45
111301.925090235,72.23,"male","white",14,36
56639.2874902506,65.17,"female","white",15,51
16899.2307482988,60.07,"female","white",12,66
56646.5578023636,61.91,"female","white",15,43
24858.2973709503,66.01,"female","white",12,42
20065.3040015574,64.06,"female","white",12,43
12641.1483677478,71.01,"male","white",12,72
13742.373319619,65.32,"female","white",12,54
55575.0908182266,73.15,"male","white",18,54
71500.598919884,68.92,"male","white",11,55
997.072456516123,64.04,"female","white",12,62
24845.7392111286,64.09,"female","white",14,26
24831.1444642002,61.37,"female","white",12,81
39143.607661738,67.06,"female","white",18,55
40770.5860160793,61.68,"female","white",13,36
40764.7785489312,62.82,"female","black",14,58
31727.703584918,66.64,"male","other",10,32
39154.2544457864,67.86,"female","white",12,28
69902.4752117052,72.3,"male","white",16,50
109708.748822754,69.94,"male","white",12,42
98535.1068275004,69.96,"male","white",18,48
50919.6738042205,67.17,"male","black",14,36
32810.0439602876,62.83,"female","black",12,37
51892.9423880023,65.68,"female","other",18,39
40756.069498211,65.9,"female","white",17,54
270275.894207949,71.07,"male","white",18,49
1001.22511774436,66.07,"female","black",11,33
55728.5899158062,66.9,"male","white",16,37
63516.2793540724,76.48,"male","black",16,42
52438.922964203,68.71,"male","white",14,34
29615.6153757967,65.41,"female","white",12,26
48695.6588978653,61.92,"female","white",13,47
42341.7892935171,61.97,"female","white",12,35
8962.40245588917,61.72,"female","white",12,25
32800.6355705226,62.29,"female","white",16,77
28011.6417041634,60.95,"female","white",12,34
51878.8132937651,65.16,"female","white",14,32
23868.1473946433,72,"male","white",14,26
981.194900092476,65.92,"female","white",17,45
79510.340661361,72.13,"male","white",14,59
13722.141363414,63.85,"female","white",12,43
63693.4110882131,71.29,"male","white",14,55
63610.4749987873,72.43,"male","white",15,45
52085.5294649461,65.85,"male","white",12,38
32803.4792304162,65,"female","white",14,73
58230.5879236984,64.9,"female","black",15,43
10542.8902094512,61.48,"female","white",12,68
20095.5458305818,65.97,"female","black",14,38
95430.6104210465,66.78,"male","white",14,67
64613.0668228329,64.3,"female","white",13,48
69383.4258503022,63.28,"female","white",12,42
72549.3620022462,67.36,"female","white",16,38
10522.9175006923,67.83,"female","white",18,43
13718.4543920556,64.51,"female","other",10,86
32796.9508717817,63.87,"female","black",13,43
27064.549819231,66.1,"male","black",12,27
4182.39423494047,65.48,"female","white",12,36
103364.476394143,64.43,"male","white",12,32
79469.6826737892,72.13,"male","white",12,45
998.682558355125,67.92,"female","white",11,58
998.684495526987,62.69,"female","white",11,33
18477.7803339031,67.83,"female","white",12,42
55628.230922933,74.41,"male","white",18,34
42838.8607714631,63.1,"male","white",12,37
6565.33123484257,63.75,"female","white",12,65
66836.7602543026,68.19,"male","white",12,41
32800.535842363,66.94,"female","white",18,33
24847.4675748411,66.65,"female","white",12,33
15859.5314446913,72.86,"male","white",12,25
1003.64167432293,62.21,"female","white",12,52
9490.29690448586,69.22,"male","white",8,82
28032.1868635186,64.95,"female","hispanic",16,27
55589.0943127064,68.9,"male","hispanic",16,69
44516.112502923,77.02,"male","white",14,32
24848.5150235251,68.07,"female","white",12,37
32819.8518440008,62.2,"female","white",17,28
32807.4666688853,64.07,"female","white",12,33
16671.5011254779,66.55,"male","hispanic",12,46
20550.1150385843,70.19,"male","white",16,26
16894.1454216893,62.2,"female","white",12,56
5768.92665868558,62.71,"female","white",12,41
39157.5819181736,61.99,"female","white",14,33
998.503387403771,62.81,"female","white",17,45
28024.6010138162,68.84,"female","white",13,39
18494.0961370381,64.28,"female","white",12,52
1028.7967089839,64.52,"female","white",14,41
51883.97214454,68.63,"female","white",14,44
28035.1640643814,59.06,"female","white",15,30
5764.82640107653,66.36,"female","other",12,39
1000.43844737019,64.97,"female","white",12,45
4330.56327434975,62,"female","black",12,25
5042.87288471185,75.18,"male","black",11,38
28044.017605739,62.99,"female","white",17,30
48696.6894978227,65.03,"female","white",13,32
23793.5962873794,70.02,"male","white",12,36
39169.7206103304,68.32,"female","white",16,46
16889.5158551673,65.01,"female","white",14,71
79469.6524162958,69.22,"male","white",8,57
79521.0309906084,71.7,"male","white",16,57
32811.1171608666,63.65,"female","white",17,53
48692.7045921071,62.84,"female","hispanic",18,58
1000.81650997941,63.41,"female","white",12,67
1019.52175123961,65.4,"female","white",10,52
986.055083445869,63.07,"female","white",5,62
35986.0131003784,73.2,"female","white",14,49
42903.3817816247,74.77,"male","white",12,28
7363.89520150288,65.14,"female","white",12,42
28828.8892012243,66.55,"female","white",17,30
27220.0746330027,65.93,"female","white",14,32
45524.391056089,63.91,"female","white",16,43
83682.9635299098,66.1,"female","white",18,54
24854.2862407647,63.68,"female","white",16,33
31210.0450199533,62.71,"female","white",13,36
998.792806987374,62.75,"female","white",13,48
42834.4504315573,72.72,"male","white",12,27
23793.0568258544,72,"male","white",8,62
1004.68819257564,66.06,"female","white",12,28
23873.5673156157,71.94,"male","white",14,37
24035.958990178,63.9,"female","white",12,59
39149.8127118589,64.24,"female","white",13,34
28581.7197594866,68.16,"male","white",15,40
7351.36224357467,61.96,"female","white",12,72
7350.34389591184,68.48,"female","white",13,61
2098.28255691469,59.46,"female","white",12,40
39169.7501351968,64.79,"female","white",12,95
42926.3869579729,76.09,"male","white",12,43
20091.4931673901,71.41,"female","white",12,39
35985.2005008923,62.08,"female","white",18,51
48698.2042696945,62.21,"female","white",13,40
55616.9724786137,71.55,"male","white",12,65
31836.5309592245,73.79,"male","white",12,46
51897.557115687,65.16,"female","white",16,36
10565.080348061,62.79,"female","other",12,35
20084.3631443331,66.52,"female","white",12,43
989.32483001483,65.05,"female","white",16,48
16893.650618774,62.93,"female","white",12,35
2583.37635997833,65.01,"female","white",12,22
20057.9469932086,63.83,"female","white",15,75
26434.5356297357,65.19,"female","white",12,40
990.632829899077,67.9,"female","white",16,45
40730.7869181018,62.87,"female","white",16,37
40751.8595966049,69.96,"female","white",12,31
50933.4879483364,68.62,"male","white",12,34
55621.9374127112,66.75,"male","white",14,47
10538.8367190333,65.05,"female","white",12,32
127210.627675111,69.39,"male","white",14,48
32799.5880325174,67.7,"female","white",14,29
2598.33597751564,66.37,"female","white",17,42
44502.6875350514,71.38,"male","hispanic",13,42
41290.7032034576,63.87,"male","hispanic",16,27
42946.1384264164,74.16,"male","white",12,28
29617.1242132711,61.92,"female","white",13,45
4203.92493626903,64.84,"female","white",12,63
31774.6724028254,69.09,"male","white",12,70
10547.6593411727,66.08,"female","white",16,52
998.222937309824,60.16,"female","white",10,72
39793.2360685558,66.6,"male","white",11,67
19083.0662723967,72.94,"male","white",12,33
982.603707126398,65.13,"female","white",18,30
19019.4383518021,76.02,"male","white",12,61
47621.5506990729,70.14,"male","white",14,80
1002.02789557595,64.18,"female","white",12,34
7352.90609561772,63,"female","black",15,26
42344.141216902,62.96,"female","black",13,41
36597.1185121691,70.04,"male","black",12,39
33372.9363140627,71.27,"male","white",12,37
40755.6601213819,65.19,"female","white",12,66
28578.7772496041,69.48,"male","white",16,79
7372.74244873303,63.48,"female","white",13,48
39006.1541350665,64.11,"female","white",12,26
56653.7613128414,63.44,"female","white",18,44
41312.4117058859,67.15,"male","white",14,34
39767.884119698,65.82,"male","white",16,40
38374.9264949555,68.18,"female","white",13,31
20079.9007989922,64.7,"female","white",12,26
24856.3852622375,66.85,"female","white",12,24
4771.49798475468,72.62,"male","white",17,27
10538.599791571,63.68,"female","white",12,71
22284.6898628754,70.77,"male","white",12,73
24851.1945376469,63.17,"female","white",16,35
278213.531775569,71.05,"male","white",16,52
1012.72857450333,62.7,"female","white",12,55
1605.96493256327,72.85,"male","white",18,29
16899.9838545566,64.92,"female","white",14,67
71575.5885980481,65.94,"male","white",13,86
24854.2581843483,66.21,"female","white",12,85
32804.552369449,59,"female","white",13,45
55626.7507266474,69.9,"male","white",16,34
63619.6597966112,71.96,"male","white",16,32
56660.0517213774,64.27,"female","white",12,76
80491.7059230187,65.48,"female","white",16,58
159001.929910422,69.42,"male","white",18,61
55744.0702635899,69.09,"male","white",13,32
1019.39370328577,65.85,"female","white",12,55
39166.0892107678,68.19,"female","white",12,39
994.954167707421,64.15,"female","white",12,34
1016.64167481653,63.06,"female","white",12,64
55597.0775538434,73.86,"male","white",17,47
60429.4216733453,72.55,"male","white",16,78
47666.4694402061,67.35,"male","white",12,56
8958.40683258562,64.3,"female","hispanic",12,43
235388.719222562,66.72,"male","white",18,42
47782.4465201032,69.45,"male","white",12,36
11338.9470357351,63.76,"female","white",15,35
5765.71378324095,61.71,"female","white",16,41
986.455165422203,65.94,"female","white",8,57
36713.0878336217,69.45,"male","white",18,73
63544.160094039,67.69,"male","white",17,45
47713.2746225333,71.77,"male","white",14,43
998.346114761212,63.09,"female","white",14,33
23257.5590577062,63.09,"female","white",12,41
24843.7923614691,68.86,"female","white",12,38
42347.4010321721,63.75,"female","white",18,40
13720.5614863724,71.45,"female","white",12,29
39159.796830908,63.98,"female","black",16,31
-12.0167137832365,72.08,"male","white",8,24
1013.27147701205,62.27,"female","white",12,29
988.758787012582,65.93,"female","white",10,42
8181.73028203835,65.8,"male","white",8,71
16889.8103273437,60.72,"female","white",15,29
1016.50273906467,69.1,"female","white",13,23
20100.2642571535,68.3,"female","white",16,36
999.845388435426,65.9,"female","white",12,27
79521.0347468327,67.87,"male","white",17,38
37551.8483983486,63.61,"female","white",13,30
1016.37310656959,61,"female","white",16,44
63578.5962735478,65.98,"male","black",14,38
10543.6518922358,61.86,"female","black",13,30
8955.40314951583,64.86,"female","black",16,34
174917.848536018,65.81,"male","white",18,41
65089.763788033,72.05,"male","hispanic",13,36
37562.8527389814,62.95,"female","white",13,82
1000.54221572545,63.1,"female","white",12,36
33354.9444670964,69.91,"male","white",12,27
7358.5069793707,62.02,"female","white",12,33
39763.7660650055,71.11,"male","white",12,40
47665.4186748928,69.84,"male","white",18,50
23255.7192646579,64.04,"female","white",11,55
10546.2705351933,63.34,"female","white",12,39
23266.3819801947,65.03,"female","white",12,50
68461.3756361159,70.81,"male","white",12,31
40750.2315198708,61.87,"female","white",15,37
63533.925247467,73.05,"male","white",12,70
103313.622213574,67.86,"male","white",17,44
25439.9094368504,76.18,"male","white",15,36
13715.9034686946,65.99,"female","white",12,75
32795.5150089862,64.02,"female","white",15,43
23259.2826084242,60.01,"female","white",14,76
71637.552888116,67.86,"male","white",12,78
13712.7662216597,61.18,"female","white",11,76
19065.5179466674,66.13,"male","white",12,32
13735.4075238793,63.02,"female","white",14,35
26440.4988768348,62.85,"female","white",15,36
9579.8456488705,73.86,"male","white",15,77
30173.6300852123,69.92,"male","white",12,36
34396.1596986703,68.26,"female","white",13,43
69369.6365028672,69.64,"female","white",18,50
55664.3998002978,69.15,"male","white",15,25
12747.0423371962,69.42,"male","white",10,79
34385.4430522478,62.74,"female","white",14,45
10233.0797957323,65.15,"female","white",12,34
27082.7070995351,68.85,"male","white",12,50
38087.3220223372,68.15,"male","white",14,53
8935.97929440994,62.14,"female","white",11,75
18489.6235991451,65.91,"female","white",12,27
15920.5922048939,65.15,"male","white",13,31
63608.3668031832,70.11,"male","white",14,40
993.515449224117,66,"female","black",12,41
63604.6309830045,70.06,"male","white",12,51
39163.5186521581,66.36,"female","black",14,33
38187.4073424178,68.23,"male","white",16,30
31761.6801664963,67.77,"male","white",16,37
95330.5448443733,69.87,"male","white",18,54
18482.8594515788,65.28,"female","white",13,51
8950.51549317265,63.91,"female","white",15,44
43919.1420419723,64.88,"female","white",16,34
141452.613413474,77.21,"male","white",16,45
63665.5948402963,70.36,"male","white",14,32
24859.8151722343,64.15,"female","white",16,30
2581.0429400068,63.83,"female","white",14,24
998.726796716888,62.04,"female","white",12,32
35995.1803431969,64.2,"female","white",12,64
20086.1754557979,63.93,"female","white",8,52
35968.8432808826,63.09,"female","white",16,32
64581.9520540544,57.94,"female","black",12,60
994.323952930143,66,"female","white",12,62
64599.9564039253,62.1,"female","white",16,48
995.486049534476,60.97,"female","white",13,46
56649.7673340898,63.61,"female","hispanic",14,57
12129.4184092628,64.22,"female","white",12,32
23257.4531814882,61.35,"female","white",12,41
24849.2645102664,64.06,"female","white",12,60
997.060240519208,66.31,"female","black",14,35
10536.8164690924,66.3,"female","white",13,38
18491.4632477733,68.48,"female","black",12,45
16894.8715844397,63.71,"female","white",13,35
1004.08167170771,62.42,"female","white",12,63
31776.7508647511,71.11,"male","white",14,45
12132.2731355026,62.1,"female","white",12,77
60439.3840685454,67.95,"male","white",9,50
46075.0353918281,67.96,"male","white",9,62
32794.3325793405,62.48,"female","white",10,48
13726.4773008127,63,"female","white",12,61
57180.2849042573,69.28,"male","white",16,55
3396.41078804734,67.46,"female","white",12,48
67766.0710226514,63.84,"female","white",18,33
39705.6238023595,69.96,"male","white",12,26
20670.4756812433,69.3,"male","white",10,24
47728.0991250952,69.4,"male","black",11,55
11260.2857898754,69.05,"male","white",12,27
50295.0102290679,59.96,"female","black",12,52
24861.2188259363,66.62,"female","black",12,46
987.153288063948,59.86,"female","white",18,45
79449.0780155172,66.77,"male","white",16,53
7902.16681412268,66.39,"male","white",15,24
1955.16818716443,69.87,"female","black",12,22
23250.1981515703,63.89,"female","black",8,55
64598.4562971162,59.72,"female","other",18,39
38212.8861850698,68.14,"male","white",18,40
35071.3664810722,73.49,"male","black",12,28
31732.0084520613,71.98,"male","white",8,40
32973.46426248,63.69,"female","white",12,42
19100.6126796045,66.85,"male","white",13,71
66201.6869744607,66.88,"female","white",13,44
20636.4454407762,70.68,"male","black",9,54
1016.75164962538,63.23,"female","white",12,29
95424.9084378097,73.21,"male","white",16,35
38084.9099393145,69.94,"male","white",16,29
60380.5619633035,69.85,"male","white",16,40
5781.36536737211,71.49,"female","white",14,31
21666.0178506817,66.05,"female","white",12,34
7893.44745525963,75.04,"male","white",12,25
32801.7096211093,59.83,"female","white",14,41
34894.9420985275,71.97,"male","white",12,32
990.366789688609,63.08,"female","black",16,27
44509.7431378579,75.11,"male","black",9,59
35983.4557169327,59.68,"female","white",12,45
47725.9251418864,72.54,"male","black",12,48
48687.901309322,64.93,"female","black",12,36
47617.1421807931,67.12,"male","white",16,35
51881.1137290279,60.77,"female","white",12,73
42328.8007934413,69,"female","white",17,47
35974.9467608756,64.05,"female","white",14,38
39662.96205847,70.18,"male","white",12,37
18481.473822349,68.24,"female","white",10,28
21658.7263654599,62.09,"female","white",12,57
16913.3676793106,64.15,"female","white",15,46
1002.3923362722,67.76,"female","white",12,28
20068.0607328364,68.05,"female","white",12,49
56.3781338622286,66.18,"male","white",13,61
12123.3789274287,64.22,"female","white",11,68
90527.2378218376,72.92,"male","white",14,41
57196.6301938738,73.38,"male","white",16,41
46069.1445429611,68.71,"male","hispanic",14,33
13727.1703803878,67.87,"female","white",13,23
4831.58925740444,71.34,"male","black",11,22
990.536028389992,63.2,"female","white",12,68
32809.7265515796,66.19,"female","white",16,45
995.475488386213,65.81,"female","white",12,40
52457.2959876668,66.22,"male","white",12,61
24864.5362144608,68.26,"female","hispanic",12,72
25420.1296221833,69.66,"male","white",12,37
8949.60197006944,62.17,"female","white",12,82
13733.774868634,65.98,"female","white",14,47
51874.5737440326,63,"female","black",16,38
23102.781191952,74.97,"male","white",12,28
21676.2738975494,66.86,"female","white",12,33
1008.33879197347,62.22,"female","white",10,24
12134.4467282926,63.24,"female","white",9,29
80502.5320404378,65.44,"female","black",18,69
20075.1124669118,68.84,"female","black",12,39
30282.4673070547,71.33,"male","white",14,65
15324.3810807192,62.23,"female","white",12,59
32794.1983616288,64.92,"female","black",12,39
87392.6632009754,72.34,"male","hispanic",18,39
16890.3326960442,65.12,"female","white",12,44
21661.0075017285,62.9,"female","white",12,23
32809.6662173545,64.34,"female","white",13,35
47708.8917890766,71.9,"male","white",12,30
20074.666638086,64.39,"female","white",12,38
42347.1664095893,70.17,"female","white",13,37
20882.6809309634,65.09,"female","white",12,31
13706.6343035933,64.38,"female","white",12,33
24851.8480250879,64.12,"female","hispanic",16,36
103274.093507014,67.05,"male","white",14,29
39730.4007784177,73.13,"male","white",10,25
12735.5841473359,73.06,"male","hispanic",14,25
23877.3476332195,65.08,"male","other",14,25
20079.3061155936,64.49,"female","white",16,44
56642.756541816,66.91,"female","black",13,41
63557.9760687751,66.58,"male","white",16,35
46114.9940451608,74.49,"male","white",12,26
24856.1676094287,62.84,"female","white",13,35
31818.6236230481,74.17,"male","white",12,40
4706.62072409605,73.86,"male","black",6,66
2596.37371508954,63,"female","black",16,23
13711.4490881715,62.37,"female","black",11,27
8962.85062670136,61.96,"female","white",12,22
40751.6454536098,66.75,"female","white",16,31
31860.2747237421,69.1,"male","white",12,61
47719.3361845415,73.1,"male","white",12,38
20084.3187707433,63.03,"female","white",12,39
1009.5439125996,60.19,"female","white",12,38
16895.3990352936,67.24,"female","white",14,36
25455.211936639,68.73,"male","white",12,23
71550.4036773232,70.95,"male","white",12,33
63567.3694572935,72.35,"male","white",14,58
991.402309767381,62.95,"female","white",12,66
39688.5905654115,70.55,"male","white",14,85
31203.6566167839,63.75,"female","white",14,56
28969.5085549037,64.52,"female","white",16,34
11052.2685502736,68.13,"male","white",12,71
47697.1018967501,74.14,"male","white",12,36
29620.4026862233,62.11,"female","white",11,51
40743.0231380484,64.81,"female","white",16,51
1001.39285180773,66.42,"female","white",14,59
10535.5109396086,59.93,"female","white",5,66
111355.582492486,68.96,"male","white",18,46
24855.0354935343,61.2,"female","other",16,38
40753.3280697748,65.17,"female","white",17,37
56670.3273867862,65.88,"female","white",16,32
28615.2800070585,70.22,"male","white",16,28
44568.5809689135,72.07,"male","black",15,34
24860.3637743202,63.94,"female","hispanic",11,25
34957.1221747868,71.36,"male","hispanic",14,32
1007.21194874105,62.74,"female","white",12,33
55693.8337608029,72.86,"male","white",12,34
29624.8547880902,64.52,"female","black",15,50
55760.7664723291,67.86,"male","white",14,41
27068.2291862713,63.7,"female","black",12,25
34920.5390609967,66.03,"male","black",16,41
48697.0600361851,67.18,"female","white",16,62
28032.2062659646,64.07,"female","hispanic",12,31
40745.341702208,64.09,"female","black",14,40
16899.7657635547,61.94,"female","white",12,55
63679.4040953726,69.43,"male","white",12,41
20859.1253422943,62.89,"female","white",12,67
55622.579497519,71.29,"male","white",15,49
984.500213531472,61.15,"female","hispanic",16,27
166981.025077615,75.23,"male","white",12,53
159024.205461937,70.35,"male","white",18,44
33381.7739759541,68.61,"male","white",12,55
16898.5850156759,63.93,"female","white",14,60
52454.8022134593,72.05,"male","white",12,30
41354.4324383427,68.64,"male","white",18,29
96398.2293678427,62.95,"female","white",10,82
28625.3297430993,71.44,"male","white",16,49
24843.1804714277,58.97,"female","white",8,65
8031.69997754504,68.31,"male","white",13,24
95370.5559507232,76.73,"male","white",17,46
20078.7017904862,67.96,"female","white",14,73
44610.2025899329,70.28,"male","black",18,42
66786.5507838122,69.29,"male","white",18,47
4194.42425623004,63.43,"female","white",12,37
31855.1033379246,73.14,"male","black",18,37
44600.1770620232,66.41,"male","other",15,44
15997.5455999182,72.1,"male","black",17,66
69.6914927913448,65.97,"male","white",16,69
49365.2190022763,72.29,"male","black",12,35
28014.3209098335,69.15,"female","black",13,41
26427.6756161573,67.11,"female","white",12,43
